<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.02 10:41;10035.00;9989.00;0.0000
2017.01.02 11:55;10035.00;10056.00;0.0000
2017.01.02 12:15;10035.00;10035.00;0.0000
2017.01.04 10:11;10073.00;10118.00;0.0000
2017.01.04 10:17;10073.00;10073.00;0.0000
2017.01.05 10:23;10090.00;10114.00;0.0000
2017.01.05 10:34;10090.00;10059.00;0.0000
2017.01.05 11:45;10090.00;10090.00;0.0000
2017.01.06 10:15;10039.00;10122.00;0.0000
2017.01.06 10:59;10039.00;10044.00;0.0000
2017.01.06 11:00;10039.00;10039.00;0.0000
2017.01.06 11:30;10036.00;10075.00;0.0000
2017.01.06 12:01;10036.00;10007.00;0.0000
2017.01.06 12:15;10036.00;10036.00;0.0000
2017.01.09 10:28;10073.00;9993.00;0.0000
2017.01.09 11:16;10073.00;10073.00;0.0000
2017.01.09 11:16;10073.00;10073.00;0.0000
2017.01.10 10:40;10080.00;10061.00;0.0000
2017.01.10 11:04;10080.00;10095.00;0.0000
2017.01.10 12:15;10080.00;10080.00;0.0000
2017.01.11 10:12;10171.00;10056.00;0.0000
2017.01.11 11:42;10171.00;10172.00;0.0000
2017.01.11 11:42;10171.00;10171.00;0.0000
2017.01.13 10:35;10125.00;10215.00;0.0000
2017.01.13 12:10;10125.00;10120.00;0.0000
2017.01.13 12:15;10125.00;10125.00;0.0000
2017.01.16 10:12;10115.00;10143.00;0.0000
2017.01.16 11:30;10115.00;10084.00;0.0000
2017.01.16 12:15;10115.00;10115.00;0.0000
2017.01.17 09:45;10173.00;10114.00;0.0000
2017.01.17 10:47;10173.00;10173.00;0.0000
2017.01.17 10:47;10173.00;10173.00;0.0000
2017.01.18 09:34;10220.00;10168.00;0.0000
2017.01.18 10:30;10220.00;10220.00;0.0000
2017.01.18 10:30;10220.00;10220.00;0.0000
2017.01.18 12:12;10252.00;10259.00;0.0000
2017.01.18 12:15;10252.00;10252.00;0.0000
2017.01.19 10:41;10283.00;10210.00;0.0000
2017.01.19 11:17;10283.00;10283.00;0.0000
2017.01.19 11:17;10283.00;10283.00;0.0000
2017.01.19 11:57;10303.00;10281.00;0.0000
2017.01.19 12:10;10303.00;10314.00;0.0000
2017.01.19 12:15;10303.00;10303.00;0.0000
2017.01.20 09:57;10307.00;10291.00;0.0000
2017.01.20 10:23;10307.00;10340.00;0.0000
2017.01.20 12:15;10307.00;10307.00;0.0000
2017.01.23 10:01;10257.00;10335.00;0.0000
2017.01.23 11:17;10257.00;10258.00;0.0000
