Data;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.04 10:11;10063.00;10084.00;0.0000
2017.01.04 11:52;10063.00;9978.00;0.0000
2017.01.04 12:14;10063.00;10063.00;0.0000
2017.01.04 14:14;10108.00;10043.00;0.0000
2017.01.04 16:42;10108.00;10114.00;0.0000
2017.01.04 16:45;10108.00;10108.00;0.0000
2017.01.05 11:55;10071.00;10151.00;0.0000
2017.01.05 12:45;10071.00;10076.00;0.0000
2017.01.05 12:46;10071.00;10071.00;0.0000
2017.01.09 10:45;10128.00;10053.00;0.0000
2017.01.09 11:17;10128.00;10138.00;0.0000
2017.01.09 11:20;10128.00;10128.00;0.0000
2017.01.09 12:43;10093.00;10099.00;0.0000
2017.01.09 13:30;10093.00;10151.00;0.0000
2017.01.09 14:09;10093.00;10093.00;0.0000
2017.01.11 12:41;10180.00;10076.00;0.0000
2017.01.11 15:09;10180.00;10203.00;0.0000
2017.01.11 15:16;10180.00;10180.00;0.0000
2017.01.12 10:12;10268.00;10167.00;0.0000
2017.01.12 12:49;10268.00;10276.00;0.0000
2017.01.12 12:51;10268.00;10268.00;0.0000
2017.01.17 09:30;10304.00;10262.00;0.0000
2017.01.17 11:10;10304.00;10342.00;0.0000
2017.01.17 12:23;10304.00;10304.00;0.0000
2017.01.17 13:31;10263.00;10312.00;0.0000
2017.01.17 13:40;10263.00;10269.00;0.0000
2017.01.17 13:41;10263.00;10263.00;0.0000
2017.01.19 10:41;10219.00;10221.00;0.0000
2017.01.19 11:27;10219.00;10317.00;0.0000
2017.01.19 12:40;10219.00;10219.00;0.0000
2017.02.02 10:32;10354.00;10207.00;0.0000
2017.02.02 11:46;10354.00;10353.00;0.0000
2017.02.02 11:47;10354.00;10354.00;0.0000
2017.02.03 10:24;10467.00;10347.00;0.0000
2017.02.03 11:44;10467.00;10476.00;0.0000
2017.02.03 11:45;10467.00;10467.00;0.0000
2017.02.06 12:45;10465.00;10442.00;0.0000
2017.02.06 14:23;10465.00;10518.00;0.0000
2017.02.06 15:28;10465.00;10465.00;0.0000
2017.02.08 11:44;10583.00;10461.00;0.0000
2017.02.08 14:03;10583.00;10589.00;0.0000
2017.02.08 14:04;10583.00;10583.00;0.0000
2017.02.10 13:10;10562.00;10615.00;0.0000
2017.02.10 13:46;10562.00;10563.00;0.0000
2017.02.10 13:47;10562.00;10562.00;0.0000
2017.02.14 12:41;10524.00;10566.00;0.0000
2017.02.14 13:01;10524.00;10529.00;0.0000
2017.02.14 13:09;10524.00;10524.00;0.0000
2017.02.17 10:11;10475.00;10551.00;0.0000
2017.02.17 10:39;10475.00;10477.00;0.0000
2017.02.17 10:40;10475.00;10475.00;0.0000
2017.02.22 12:07;10441.00;10445.00;0.0000
2017.02.22 12:40;10441.00;10510.00;0.0000
2017.02.22 13:15;10441.00;10441.00;0.0000
2017.02.23 11:26;10548.00;10426.00;0.0000
2017.02.23 12:28;10548.00;10560.00;0.0000
2017.02.23 12:31;10548.00;10548.00;0.0000
2017.02.23 13:28;10497.00;10580.00;0.0000
2017.02.23 14:08;10497.00;10516.00;0.0000
2017.02.23 14:09;10497.00;10497.00;0.0000
2017.02.24 10:14;10632.00;10481.00;0.0000
2017.02.24 11:59;10632.00;10623.00;0.0000
2017.02.24 12:00;10632.00;10632.00;0.0000
2017.03.01 14:16;10662.00;10592.00;0.0000
2017.03.01 15:28;10662.00;10694.00;0.0000
2017.03.01 16:01;10662.00;10662.00;0.0000
2017.03.02 11:46;10621.00;10720.00;0.0000
2017.03.02 12:09;10621.00;10628.00;0.0000
2017.03.02 12:10;10621.00;10621.00;0.0000
2017.03.06 12:13;10566.00;10635.00;0.0000
2017.03.06 12:57;10566.00;10571.00;0.0000
2017.03.06 13:00;10566.00;10566.00;0.0000
2017.03.07 14:08;10547.00;10610.00;0.0000
2017.03.07 15:58;10547.00;10535.00;0.0000
2017.03.07 16:12;10547.00;10547.00;0.0000
2017.03.08 09:56;10515.00;10573.00;0.0000
2017.03.08 10:16;10515.00;10516.00;0.0000
2017.03.08 10:17;10515.00;10515.00;0.0000
2017.03.09 10:13;10650.00;10508.00;0.0000
2017.03.09 11:44;10650.00;10642.00;0.0000
2017.03.09 11:45;10650.00;10650.00;0.0000
2017.03.10 12:43;10772.00;10783.00;0.0000
2017.03.10 12:45;10772.00;10772.00;0.0000
2017.03.14 11:34;10880.00;10741.00;0.0000
2017.03.14 13:29;10880.00;10890.00;0.0000
2017.03.14 13:30;10880.00;10880.00;0.0000
2017.03.15 11:20;10937.00;10873.00;0.0000
2017.03.15 12:25;10937.00;10967.00;0.0000
2017.03.15 13:41;10937.00;10937.00;0.0000
2017.03.17 11:35;10879.00;10940.00;0.0000
2017.03.17 11:43;10879.00;10898.00;0.0000
2017.03.17 11:44;10879.00;10879.00;0.0000
2017.03.20 09:10;10849.00;10884.00;0.0000
2017.03.20 09:15;10849.00;10852.00;0.0000
2017.03.20 09:16;10849.00;10849.00;0.0000
2017.03.21 10:35;10814.00;10872.00;0.0000
2017.03.21 10:42;10814.00;10820.00;0.0000
2017.03.21 10:47;10814.00;10814.00;0.0000
2017.03.22 09:41;10949.00;10783.00;0.0000
2017.03.22 10:47;10949.00;10934.00;0.0000
2017.03.22 11:58;10949.00;10949.00;0.0000
2017.03.23 09:58;11084.00;10910.00;0.0000
2017.03.23 11:36;11084.00;11077.00;0.0000
2017.03.23 11:37;11084.00;11084.00;0.0000
2017.03.23 12:03;11113.00;11062.00;0.0000
2017.03.23 13:15;11113.00;11185.00;0.0000
2017.03.23 14:41;11113.00;11113.00;0.0000
2017.03.24 09:10;11224.00;11112.00;0.0000
2017.03.24 10:31;11224.00;11245.00;0.0000
2017.03.24 10:36;11224.00;11224.00;0.0000
2017.03.24 14:00;11265.00;11201.00;0.0000
2017.03.24 14:57;11265.00;11288.00;0.0000
2017.03.24 15:50;11265.00;11265.00;0.0000
2017.03.29 11:27;11215.00;11275.00;0.0000
2017.03.29 11:35;11215.00;11216.00;0.0000
2017.03.29 11:37;11215.00;11215.00;0.0000
2017.03.30 10:54;11290.00;11297.00;0.0000
2017.03.30 10:55;11290.00;11290.00;0.0000
2017.03.30 11:13;11248.00;11309.00;0.0000
2017.03.30 11:29;11248.00;11251.00;0.0000
2017.03.30 11:31;11248.00;11248.00;0.0000
2017.03.31 10:52;11331.00;11243.00;0.0000
2017.03.31 13:04;11331.00;11332.00;0.0000
2017.03.31 13:05;11331.00;11331.00;0.0000
2017.03.31 13:29;11297.00;11345.00;0.0000
2017.03.31 14:10;11297.00;11299.00;0.0000
2017.03.31 14:33;11297.00;11297.00;0.0000
2017.04.03 12:50;11371.00;11284.00;0.0000
2017.04.03 15:40;11371.00;11380.00;0.0000
2017.04.03 15:49;11371.00;11371.00;0.0000
2017.04.05 15:01;11354.00;11427.00;0.0000
2017.04.05 15:34;11354.00;11353.00;0.0000
2017.04.05 15:35;11354.00;11354.00;0.0000
2017.04.07 12:10;11295.00;11392.00;0.0000
2017.04.07 12:41;11295.00;11299.00;0.0000
2017.04.07 12:45;11295.00;11295.00;0.0000
2017.04.11 12:21;11490.00;11293.00;0.0000
2017.04.11 14:10;11490.00;11504.00;0.0000
2017.04.11 14:11;11490.00;11490.00;0.0000
2017.04.12 10:05;11439.00;11493.00;0.0000
2017.04.12 10:09;11439.00;11441.00;0.0000
2017.04.12 10:25;11439.00;11439.00;0.0000
2017.04.13 14:34;11401.00;11446.00;0.0000
2017.04.13 14:45;11401.00;11407.00;0.0000
2017.04.13 14:46;11401.00;11401.00;0.0000
2017.04.18 13:11;11526.00;11544.00;0.0000
2017.04.18 13:30;11526.00;11526.00;0.0000
2017.04.19 13:36;11481.00;11583.00;0.0000
2017.04.19 14:29;11481.00;11488.00;0.0000
2017.04.19 14:30;11481.00;11481.00;0.0000
2017.04.25 10:40;11549.00;11467.00;0.0000
2017.04.25 12:24;11549.00;11584.00;0.0000
2017.04.25 13:24;11549.00;11549.00;0.0000
2017.04.26 12:28;11602.00;11512.00;0.0000
2017.04.26 14:14;11602.00;11654.00;0.0000
2017.04.26 15:13;11602.00;11602.00;0.0000
2017.04.27 12:21;11560.00;11625.00;0.0000
2017.04.27 12:42;11560.00;11568.00;0.0000
2017.04.27 12:47;11560.00;11560.00;0.0000
