<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.03 11:07;10120.00;9994.00;0.0000
2017.01.03 12:32;10120.00;10109.00;0.0000
2017.01.03 12:33;10120.00;10120.00;0.0000
2017.01.11 11:55;10122.00;10110.00;0.0000
2017.01.11 12:41;10122.00;10220.00;0.0000
2017.01.11 14:18;10122.00;10122.00;0.0000
2017.01.23 14:26;10221.00;10088.00;0.0000
2017.01.23 17:28;10221.00;10230.00;0.0000
2017.01.23 17:30;10221.00;10221.00;0.0000
2017.01.30 11:27;10341.00;10205.00;0.0000
2017.01.30 13:42;10341.00;10339.00;0.0000
2017.01.30 13:43;10341.00;10341.00;0.0000
2017.02.03 12:33;10343.00;10331.00;0.0000
2017.02.03 13:23;10343.00;10435.00;0.0000
2017.02.03 14:42;10343.00;10343.00;0.0000
2017.02.10 13:10;10430.00;10307.00;0.0000
2017.02.10 17:22;10430.00;10437.00;0.0000
2017.02.10 17:30;10430.00;10430.00;0.0000
2017.02.23 12:53;10550.00;10425.00;0.0000
2017.02.23 13:07;10550.00;10529.00;0.0000
2017.02.23 14:09;10550.00;10550.00;0.0000
2017.02.24 12:00;10420.00;10567.00;0.0000
2017.02.24 17:12;10420.00;10422.00;0.0000
2017.02.24 17:12;10420.00;10420.00;0.0000
2017.03.08 13:34;10422.00;10412.00;0.0000
2017.03.08 15:09;10422.00;10505.00;0.0000
2017.03.08 15:36;10422.00;10422.00;0.0000
2017.03.09 12:16;10292.00;10439.00;0.0000
2017.03.09 12:48;10292.00;10295.00;0.0000
2017.03.09 12:49;10292.00;10292.00;0.0000
2017.03.10 10:57;10162.00;10338.00;0.0000
2017.03.10 12:50;10162.00;10167.00;0.0000
2017.03.10 13:00;10162.00;10162.00;0.0000
2017.03.15 11:20;10032.00;10172.00;0.0000
2017.03.15 14:42;10032.00;10051.00;0.0000
2017.03.15 15:00;10032.00;10032.00;0.0000
2017.03.16 14:02;10019.00;9963.00;0.0000
2017.03.16 15:00;10019.00;10073.00;0.0000
2017.03.16 17:30;10019.00;10019.00;0.0000
2017.03.17 12:11;10139.00;10134.00;0.0000
2017.03.17 12:12;10139.00;10139.00;0.0000
2017.03.20 11:39;10141.00;10102.00;0.0000
2017.03.20 12:05;10141.00;10255.00;0.0000
2017.03.20 13:15;10141.00;10141.00;0.0000
2017.03.21 11:12;10261.00;10119.00;0.0000
2017.03.21 11:53;10261.00;10247.00;0.0000
2017.03.21 11:54;10261.00;10261.00;0.0000
2017.03.22 12:08;10263.00;10216.00;0.0000
2017.03.22 13:24;10263.00;10345.00;0.0000
2017.03.22 13:46;10263.00;10263.00;0.0000
2017.03.23 13:15;10214.00;10145.00;0.0000
2017.03.23 15:58;10214.00;10307.00;0.0000
2017.03.23 17:30;10214.00;10214.00;0.0000
2017.03.29 12:23;10294.00;10200.00;0.0000
2017.03.29 17:29;10294.00;10297.00;0.0000
