<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.12 09:51;10336.00;9964.00;0.0000
2017.01.12 12:30;10336.00;10333.00;0.0000
2017.01.12 12:44;10336.00;10336.00;0.0000
2017.02.10 12:45;10336.00;10336.00;0.0000
2017.03.14 17:02;10336.00;10336.00;0.0000
2017.04.12 13:06;10336.00;10336.00;0.0000
2017.05.16 09:13;10336.00;10336.00;0.0000
2017.05.18 10:48;10612.00;10330.00;0.0000
2017.05.18 10:51;10612.00;10564.00;0.0000
2017.05.18 10:53;10612.00;10612.00;0.0000
2017.05.18 10:55;10939.00;10609.00;0.0000
2017.05.18 10:55;10939.00;10939.00;0.0000
2017.05.18 11:00;11230.00;10936.00;0.0000
2017.05.18 11:00;11230.00;11230.00;0.0000
2017.05.18 11:05;11776.00;11227.00;0.0000
2017.05.18 11:10;11776.00;11701.00;0.0000
2017.05.18 11:10;11776.00;11776.00;0.0000
2017.05.18 11:16;12082.00;11704.00;0.0000
2017.05.18 11:17;12082.00;12079.00;0.0000
2017.05.18 11:18;12082.00;12082.00;0.0000
2017.05.18 11:20;12547.00;12079.00;0.0000
2017.05.18 11:22;12547.00;12397.00;0.0000
2017.05.18 11:23;12547.00;12547.00;0.0000
2017.05.18 11:32;12883.00;12196.00;0.0000
2017.05.18 11:46;12883.00;12814.00;0.0000
2017.05.18 11:47;12883.00;12883.00;0.0000
2017.06.16 16:57;12883.00;12883.00;0.0000
2017.07.17 13:01;12883.00;12883.00;0.0000
2017.08.15 09:05;12883.00;12883.00;0.0000
2017.09.13 14:10;12883.00;12883.00;0.0000
2017.10.04 11:00;12934.00;13177.00;0.0000
2017.10.04 11:57;12934.00;12826.00;0.0000
2017.10.04 13:00;12934.00;12934.00;0.0000
2017.11.03 14:43;12934.00;12934.00;0.0000
2017.12.05 14:43;12934.00;12934.00;0.0000
2017.12.13 09:59;13216.00;12847.00;0.0000
2017.12.13 10:22;13216.00;13210.00;0.0000
2017.12.13 10:26;13216.00;13216.00;0.0000
2017.12.13 11:28;13099.00;13483.00;0.0000
2017.12.13 12:06;13099.00;12940.00;0.0000
2017.12.13 13:00;13099.00;13099.00;0.0000
2018.01.15 12:57;13099.00;13099.00;0.0000
2018.01.26 09:51;13435.00;13078.00;0.0000
2018.01.26 10:13;13435.00;13429.00;0.0000
2018.01.26 10:14;13435.00;13435.00;0.0000
2018.01.26 12:12;13165.00;13621.00;0.0000
2018.01.26 12:59;13165.00;13150.00;0.0000
2018.01.26 13:00;13165.00;13165.00;0.0000
2018.01.31 11:24;13300.00;13372.00;0.0000
2018.01.31 12:28;13300.00;13117.00;0.0000
2018.01.31 13:00;13300.00;13300.00;0.0000
2018.02.06 10:03;13660.00;13117.00;0.0000
2018.02.06 10:16;13660.00;13654.00;0.0000
2018.02.06 10:18;13660.00;13660.00;0.0000
2018.02.06 10:20;13981.00;13657.00;0.0000
2018.02.06 10:25;13981.00;13957.00;0.0000
2018.02.06 10:43;13981.00;13981.00;0.0000
2018.02.06 11:26;14275.00;13891.00;0.0000
2018.02.06 12:05;14275.00;14248.00;0.0000
2018.02.06 12:06;14275.00;14275.00;0.0000
2018.02.15 10:15;14056.00;14380.00;0.0000
2018.02.15 12:58;14056.00;14026.00;0.0000
2018.02.15 13:00;14056.00;14056.00;0.0000
2018.03.15 13:43;14056.00;14056.00;0.0000
2018.04.05 10:04;14347.00;14011.00;0.0000
2018.04.05 10:40;14347.00;14341.00;0.0000
2018.04.05 10:46;14347.00;14347.00;0.0000
2018.04.18 09:47;13939.00;14368.00;0.0000
2018.04.18 11:32;13939.00;13948.00;0.0000
