<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2017.01.01 00:00;10000.00;10000.00;0.0000
2017.01.19 16:27;10048.00;9986.00;0.0000
2017.01.19 17:16;10048.00;10082.00;0.0000
2017.01.19 17:40;10048.00;10048.00;0.0000
2017.01.30 10:33;10154.00;10033.00;0.0000
2017.01.30 11:19;10154.00;10153.00;0.0000
2017.01.30 11:22;10154.00;10154.00;0.0000
2017.02.01 11:48;10059.00;10179.00;0.0000
2017.02.01 13:37;10059.00;10066.00;0.0000
2017.02.01 13:39;10059.00;10059.00;0.0000
2017.02.01 15:32;10076.00;10026.00;0.0000
2017.02.01 16:56;10076.00;10101.00;0.0000
2017.02.01 17:40;10076.00;10076.00;0.0000
2017.02.03 14:01;10002.00;10082.00;0.0000
2017.02.03 17:26;10002.00;9991.00;0.0000
2017.02.03 17:40;10002.00;10002.00;0.0000
2017.02.06 14:23;10108.00;9974.00;0.0000
2017.02.06 17:19;10108.00;10105.00;0.0000
2017.02.06 17:20;10108.00;10108.00;0.0000
2017.02.23 14:51;10214.00;10084.00;0.0000
2017.02.23 15:36;10214.00;10213.00;0.0000
2017.02.23 15:37;10214.00;10214.00;0.0000
2017.03.13 16:12;10239.00;10189.00;0.0000
2017.03.13 16:45;10239.00;10258.00;0.0000
2017.03.13 17:40;10239.00;10239.00;0.0000
2017.03.14 14:13;10144.00;10264.00;0.0000
2017.03.14 15:15;10144.00;10148.00;0.0000
2017.03.14 15:17;10144.00;10144.00;0.0000
2017.03.14 15:30;10139.00;10152.00;0.0000
2017.03.14 16:32;10139.00;10073.00;0.0000
2017.03.14 17:40;10139.00;10139.00;0.0000
2017.03.15 17:02;10178.00;10116.00;0.0000
2017.03.15 17:06;10178.00;10194.00;0.0000
2017.03.15 17:40;10178.00;10178.00;0.0000
2017.03.17 12:27;10284.00;10145.00;0.0000
2017.03.17 13:31;10284.00;10283.00;0.0000
2017.03.17 14:17;10284.00;10284.00;0.0000
2017.03.27 15:45;10344.00;10282.00;0.0000
2017.03.27 17:12;10344.00;10346.00;0.0000
2017.03.27 17:40;10344.00;10344.00;0.0000
2017.04.03 13:15;10250.00;10346.00;0.0000
2017.04.03 16:59;10250.00;10253.00;0.0000
2017.04.03 17:00;10250.00;10250.00;0.0000
2017.04.17 14:32;10355.00;10246.00;0.0000
2017.04.17 15:52;10355.00;10345.00;0.0000
2017.04.17 16:17;10355.00;10355.00;0.0000
2017.04.19 15:02;10425.00;10297.00;0.0000
2017.04.19 16:43;10425.00;10440.00;0.0000
2017.04.19 17:40;10425.00;10425.00;0.0000
2017.05.04 11:27;10531.00;10398.00;0.0000
2017.05.04 11:55;10531.00;10517.00;0.0000
2017.05.04 11:56;10531.00;10531.00;0.0000
2017.05.05 15:40;10532.00;10481.00;0.0000
2017.05.05 17:19;10532.00;10554.00;0.0000
2017.05.05 17:40;10532.00;10532.00;0.0000
2017.05.08 15:10;10513.00;10503.00;0.0000
2017.05.08 16:23;10513.00;10570.00;0.0000
2017.05.08 17:40;10513.00;10513.00;0.0000
2017.05.17 13:10;10619.00;10493.00;0.0000
2017.05.17 15:17;10619.00;10618.00;0.0000
2017.05.17 15:20;10619.00;10619.00;0.0000
2017.05.24 10:47;10724.00;10608.00;0.0000
2017.05.24 11:26;10724.00;10717.00;0.0000
2017.05.24 11:27;10724.00;10724.00;0.0000
2017.05.25 13:15;10630.00;10730.00;0.0000
2017.05.25 16:39;10630.00;10636.00;0.0000
2017.05.25 16:40;10630.00;10630.00;0.0000
2017.05.31 11:37;10736.00;10610.00;0.0000
2017.05.31 16:57;10736.00;10733.00;0.0000
2017.05.31 16:58;10736.00;10736.00;0.0000
2017.06.06 16:05;10694.00;10741.00;0.0000
2017.06.06 17:03;10694.00;10685.00;0.0000
2017.06.06 17:40;10694.00;10694.00;0.0000
2017.06.08 12:30;10672.00;10746.00;0.0000
2017.06.08 16:36;10672.00;10625.00;0.0000
2017.06.08 17:40;10672.00;10672.00;0.0000
2017.06.16 12:57;10578.00;10682.00;0.0000
2017.06.16 16:01;10578.00;10582.00;0.0000
2017.06.16 16:23;10578.00;10578.00;0.0000
2017.06.20 12:48;10684.00;10541.00;0.0000
2017.06.20 13:04;10684.00;10660.00;0.0000
2017.06.20 13:05;10684.00;10684.00;0.0000
2017.06.23 15:44;10635.00;10615.00;0.0000
2017.06.23 17:40;10635.00;10635.00;0.0000
2017.06.28 11:29;10541.00;10641.00;0.0000
2017.06.28 12:30;10541.00;10552.00;0.0000
2017.06.28 12:35;10541.00;10541.00;0.0000
2017.06.28 14:28;10560.00;10520.00;0.0000
2017.06.28 15:15;10560.00;10582.00;0.0000
2017.06.28 17:40;10560.00;10560.00;0.0000
2017.07.06 12:04;10623.00;10539.00;0.0000
2017.07.06 15:20;10623.00;10649.00;0.0000
2017.07.06 17:40;10623.00;10623.00;0.0000
2017.07.19 16:02;10640.00;10608.00;0.0000
2017.07.19 17:40;10640.00;10640.00;0.0000
2017.07.19 17:40;10640.00;10640.00;0.0000
2017.07.20 14:30;10647.00;10601.00;0.0000
2017.07.20 16:54;10647.00;10659.00;0.0000
2017.07.20 17:40;10647.00;10647.00;0.0000
2017.07.26 15:30;10681.00;10603.00;0.0000
2017.07.26 17:27;10681.00;10688.00;0.0000
2017.07.26 17:40;10681.00;10681.00;0.0000
2017.07.27 16:16;10653.00;10688.00;0.0000
2017.07.27 17:00;10653.00;10647.00;0.0000
2017.07.27 17:40;10653.00;10653.00;0.0000
2017.08.09 15:48;10587.00;10657.00;0.0000
2017.08.09 17:20;10587.00;10583.00;0.0000
2017.08.09 17:40;10587.00;10587.00;0.0000
2017.08.10 10:50;10693.00;10575.00;0.0000
2017.08.10 13:40;10693.00;10688.00;0.0000
2017.08.10 13:41;10693.00;10693.00;0.0000
2017.08.30 13:47;10685.00;10706.00;0.0000
2017.08.30 15:21;10685.00;10658.00;0.0000
2017.08.30 17:40;10685.00;10685.00;0.0000
2017.08.31 12:29;10701.00;10744.00;0.0000
2017.08.31 15:34;10701.00;10621.00;0.0000
2017.08.31 17:40;10701.00;10701.00;0.0000
2017.09.20 15:45;10607.00;10707.00;0.0000
2017.09.20 16:19;10607.00;10611.00;0.0000
2017.09.20 16:21;10607.00;10607.00;0.0000
2017.09.21 13:53;10569.00;10542.00;0.0000
2017.09.21 15:49;10569.00;10632.00;0.0000
2017.09.21 17:40;10569.00;10569.00;0.0000
2017.09.29 16:24;10532.00;10588.00;0.0000
2017.09.29 17:33;10532.00;10525.00;0.0000
2017.09.29 17:40;10532.00;10532.00;0.0000
2017.10.02 12:05;10543.00;10585.00;0.0000
2017.10.02 12:58;10543.00;10449.00;0.0000
2017.10.02 17:40;10543.00;10543.00;0.0000
2017.10.06 11:45;10649.00;10538.00;0.0000
2017.10.06 11:59;10649.00;10630.00;0.0000
2017.10.06 12:00;10649.00;10649.00;0.0000
2017.10.19 13:50;10555.00;10728.00;0.0000
2017.10.19 17:08;10555.00;10559.00;0.0000
2017.10.19 17:09;10555.00;10555.00;0.0000
2017.10.23 11:48;10661.00;10511.00;0.0000
2017.10.23 13:13;10661.00;10655.00;0.0000
2017.10.23 13:29;10661.00;10661.00;0.0000
2017.10.24 16:20;10639.00;10670.00;0.0000
2017.10.24 17:08;10639.00;10593.00;0.0000
2017.10.24 17:40;10639.00;10639.00;0.0000
2017.10.25 14:30;10545.00;10647.00;0.0000
2017.10.25 14:43;10545.00;10547.00;0.0000
2017.10.25 14:46;10545.00;10545.00;0.0000
2017.11.27 14:46;10545.00;10545.00;0.0000
2017.11.29 12:31;10651.00;10541.00;0.0000
2017.11.29 12:53;10651.00;10640.00;0.0000
2017.11.29 13:00;10651.00;10651.00;0.0000
2017.12.04 13:57;10756.00;10570.00;0.0000
2017.12.04 14:42;10756.00;10752.00;0.0000
2017.12.04 14:43;10756.00;10756.00;0.0000
2017.12.14 10:55;10662.00;10796.00;0.0000
2017.12.14 12:37;10662.00;10666.00;0.0000
2017.12.14 12:41;10662.00;10662.00;0.0000
2017.12.15 14:58;10608.00;10672.00;0.0000
2017.12.15 16:39;10608.00;10572.00;0.0000
2017.12.15 17:40;10608.00;10608.00;0.0000
2017.12.19 14:59;10613.00;10706.00;0.0000
2017.12.19 17:24;10613.00;10568.00;0.0000
2017.12.19 17:40;10613.00;10613.00;0.0000
2017.12.20 11:13;10636.00;10595.00;0.0000
2017.12.20 14:37;10636.00;10697.00;0.0000
2017.12.20 17:40;10636.00;10636.00;0.0000
2018.01.11 15:06;10698.00;10594.00;0.0000
2018.01.11 17:18;10698.00;10702.00;0.0000
2018.01.11 17:40;10698.00;10698.00;0.0000
2018.01.23 15:33;10751.00;10693.00;0.0000
2018.01.23 16:23;10751.00;10782.00;0.0000
2018.01.23 17:40;10751.00;10751.00;0.0000
2018.02.02 11:29;10857.00;10731.00;0.0000
2018.02.02 11:30;10857.00;10829.00;0.0000
2018.02.02 11:35;10857.00;10857.00;0.0000
2018.02.07 16:28;10858.00;10897.00;0.0000
2018.02.07 16:44;10858.00;10779.00;0.0000
2018.02.07 17:40;10858.00;10858.00;0.0000
2018.03.05 15:03;10841.00;10904.00;0.0000
2018.03.05 16:21;10841.00;10794.00;0.0000
2018.03.05 17:40;10841.00;10841.00;0.0000
2018.03.09 13:19;10873.00;10890.00;0.0000
2018.03.09 14:55;10873.00;10782.00;0.0000
2018.03.09 17:40;10873.00;10873.00;0.0000
2018.03.14 13:09;10851.00;10925.00;0.0000
2018.03.14 16:55;10851.00;10804.00;0.0000
2018.03.14 17:40;10851.00;10851.00;0.0000
2018.03.21 16:36;10757.00;10866.00;0.0000
2018.03.22 14:14;10757.00;10761.00;0.0000
2018.03.22 14:24;10757.00;10757.00;0.0000
2018.03.23 15:18;10662.00;10820.00;0.0000
2018.03.23 16:00;10662.00;10668.00;0.0000
2018.03.23 16:01;10662.00;10662.00;0.0000
2018.03.26 13:49;10568.00;10689.00;0.0000
2018.03.26 15:30;10568.00;10569.00;0.0000
2018.03.26 16:26;10568.00;10568.00;0.0000
2018.03.27 15:01;10674.00;10566.00;0.0000
2018.03.27 15:33;10674.00;10666.00;0.0000
2018.03.27 15:59;10674.00;10674.00;0.0000
2018.03.29 11:45;10779.00;10669.00;0.0000
2018.03.29 13:54;10779.00;10774.00;0.0000
2018.03.29 13:57;10779.00;10779.00;0.0000
2018.04.02 16:34;10685.00;10791.00;0.0000
2018.04.02 16:56;10685.00;10690.00;0.0000
2018.04.02 16:59;10685.00;10685.00;0.0000
2018.04.03 15:44;10663.00;10706.00;0.0000
2018.04.03 17:15;10663.00;10594.00;0.0000
2018.04.03 17:40;10663.00;10663.00;0.0000
2018.04.06 11:47;10569.00;10697.00;0.0000
2018.04.06 12:41;10569.00;10572.00;0.0000
2018.04.06 12:55;10569.00;10569.00;0.0000
2018.04.13 11:31;10475.00;10584.00;0.0000
2018.04.13 14:24;10475.00;10478.00;0.0000
2018.04.13 14:25;10475.00;10475.00;0.0000
2018.05.09 15:20;10511.00;10418.00;0.0000
2018.05.09 16:54;10511.00;10541.00;0.0000
2018.05.09 17:40;10511.00;10511.00;0.0000
2018.05.17 13:12;10617.00;10502.00;0.0000
2018.05.17 13:49;10617.00;10608.00;0.0000
2018.05.17 13:50;10617.00;10617.00;0.0000
2018.06.05 15:11;10723.00;10600.00;0.0000
2018.06.05 15:31;10723.00;10714.00;0.0000
2018.06.05 15:57;10723.00;10723.00;0.0000
2018.06.19 14:27;10828.00;10671.00;0.0000
2018.06.19 15:24;10828.00;10820.00;0.0000
2018.06.19 15:25;10828.00;10828.00;0.0000
2018.06.21 13:27;10934.00;10768.00;0.0000
2018.06.21 15:23;10934.00;10932.00;0.0000
2018.06.21 15:25;10934.00;10934.00;0.0000
